 BTBT.out                                                                                                                                                                                                
 UwB97XD                       
 CC-pVDZ                       

************************************************************
                Mode    Frequency (cm-1)              lambda
                  15       78.6689586920       -0.2646670196
                  16       90.9093324095        0.2989404487
                  17       96.7085610283        0.1735698062
                  18      105.8793535157        0.1377959345
                  19      116.7240831363       -0.8200644400
                  20      124.0264782907       -0.0574518162
                  21      136.3725656406        0.4460881176
                  22      151.3076402289       -0.7290555348
                  23      155.7895697309       -0.0649473343
                  24      164.1317013052        0.0819154914
                  25      189.3076996464       -0.2881463211
                  26      194.2888666050        0.4493180374
                  27      198.6686450410       -0.1349391756
                  28      229.5396614733       -0.6953803907
                  29      243.2713351025        0.2532301940
                  30      251.8602047008        0.5625373677
                  31      255.6444185715       -0.0047457315
                  32      268.5487686317        1.9112130685
                  33      296.8562073462       -0.9158674156
                  34      300.2514417057       -0.2691984881
                  35      317.9402415106        0.4463251533
                  36      342.6693301955       -0.0384257260
                  37      373.3403829532       -0.2278112696
                  38      381.3249056020       -0.0874211359
                  39      414.5435789626       -0.1457236107
                  40      430.6644982166       -0.4213110625
                  41      435.5861663351       -0.0339199667
                  42      444.0091618534        0.2781135325
                  43      447.6055161690        0.0011840077
                  44      448.6586820542       -0.4181245304
                  45      460.6395931130       -0.0762335636
                  46      468.3580744006        0.0757531187
                  47      494.1640573801       -0.0004929664
                  48      498.7386483799       -0.0462733214
                  49      525.4419588882        0.0558257194
                  50      532.2221592291       -0.0482743380
                  51      559.7287851592       -0.0582276973
                  52      575.4474118635       -0.0708471384
                  53      591.1070092472        0.0164656384
                  54      618.0908792060       -0.0180622999
                  55      641.6682941224       -0.0607686062
                  56      653.1094988854       -0.0126557139
                  57      670.2772419245       -0.0556936926
                  58      702.1540022011        0.1315292047
                  59      720.9757865754        0.1240884232
                  60      742.2919731091       -0.0018422869
                  61      743.9754114626        0.0023456780
                  62      750.3268241570        0.0072325654
                  63      760.0143049747       -0.0092122120
                  64      768.0204792960        0.0168922706
                  65      770.2328903196        0.0064997423
                  66      782.4870189488       -0.0541493884
                  67      803.8669840746        0.0105578273
                  68      818.9994882707       -0.1476380161
                  69      836.8044654364       -0.1058947078
                  70      848.3195929407        0.0464967485
                  71      850.0303918981       -0.0586365926
                  72      855.8950556999       -0.2584073728
                  73      870.1162738524       -0.1344256034
                  74      871.4561192468        0.0202206427
                  75      896.0305874347        0.0664472205
                  76      908.9586197298        0.0593273681
                  77      912.8165209211        0.0097443629
                  78      916.0648079725        0.0075015835
                  79      953.2101815324       -0.0065888910
                  80      971.1909809316        0.0323991488
                  81      975.9460098431       -0.0207092896
                  82      984.4698750947        0.0012062495
                  83      988.0086040536        0.0102856714
                  84      993.1618518953       -0.0053625112
                  85     1018.6171108140       -0.0155724249
                  86     1020.5040231734       -0.0015007634
                  87     1026.9941732923        0.0388568430
                  88     1027.2026938121        0.0372567198
                  89     1043.7659481826       -0.0326271900
                  90     1069.1242727553       -0.0891211785
                  91     1073.9696539242       -0.0378608702
                  92     1083.6133658715       -0.0413035242
                  93     1087.3364549174       -0.0290504223
                  94     1096.6569478274       -0.0825332806
                  95     1098.9957954492       -0.0954602375
                  96     1105.2446660393        0.0207468470
                  97     1110.1606376016        0.0491851033
                  98     1113.0342975524        0.0686887038
                  99     1139.1763634657       -0.1424759205
                 100     1151.1912647891       -0.0809384578
                 101     1169.1116716199        0.0501848035
                 102     1172.9910668539        0.5025918904
                 103     1173.9557555494       -0.0846694807
                 104     1202.3556721633        0.2471107519
                 105     1207.7579553627       -0.0053337027
                 106     1210.9466552823        0.9938952470
                 107     1224.7493994926        0.0305382499
                 108     1236.5687002973        0.0347863575
                 109     1245.9000885374        0.0030397564
                 110     1268.6942932676       -0.0088559030
                 111     1273.4295453771        0.0038093018
                 112     1282.6535418492        0.0054206344
                 113     1294.5789999882        0.0175101632
                 114     1309.2269532294        0.6300491296
                 115     1318.3643268108        0.0449834809
                 116     1318.4581323169       -0.2982422716
                 117     1321.1026945591       -0.0675174444
                 118     1323.7822380397        0.0156127067
                 119     1329.5229404909        0.5297631238
                 120     1334.5361890101       -0.0130578652
                 121     1338.2882621778       -0.0097681529
                 122     1343.1753015111        0.2693506534
                 123     1360.9044001674        0.2067061661
                 124     1364.6386396545       -0.1017870829
                 125     1365.0658392882       -0.2136283617
                 126     1379.6399043998       -0.0475722753
                 127     1385.4539047138        0.1600589284
                 128     1394.5694162789        0.0190565320
                 129     1409.8164162250        0.0102208389
                 130     1419.6583533686        0.0001563179
                 131     1427.8050988022        0.0046744322
                 132     1434.5057558148        0.0700495301
                 133     1453.5453271717        0.1743266510
                 134     1467.9632162583       -1.3579037665
                 135     1468.5632892638        1.5270758750
                 136     1469.2007487076       -0.0892619295
                 137     1471.8798101962        0.9284192050
                 138     1472.3778715053       -3.7699151966
                 139     1473.7579963546       -0.0045195191
                 140     1477.5668588069       -0.0171118054
                 141     1477.5865635972       -0.0005476206
                 142     1479.8259583278       -0.0082071572
                 143     1484.4126356242       -0.0227923111
                 144     1489.7870682035        0.0231859430
                 145     1490.6790039268       -0.5977105734
                 146     1493.0335402819        0.0093386261
                 147     1519.7044900620        0.6123709792
                 148     1532.8991329236        0.4103138863
                 149     1557.0122307629       -0.2646995308
                 150     1576.7201156147        0.8187395165
                 151     1630.4867984546        0.2122541431
                 152     1638.1374411963        0.1567251514
                 153     1657.9149618682       -0.1781996066
                 154     1689.1268034065       -0.3317580295
                 155     1692.6239872358       -0.0882925400
                 156     1704.1711404746        0.5241139818
                 157     3018.6511754028      -17.3775564712
                 158     3020.0914523880       -0.0019638713
                 159     3021.8055916263       -0.0213138798
                 160     3022.7019421876       -0.1876093722
                 161     3027.8676977352        0.0071702347
                 162     3035.1095977720        0.1166389251
                 163     3035.8856996392       -0.0141343407
                 164     3043.3238894631       -0.0848141526
                 165     3046.9206037601       -0.0819873651
                 166     3050.6646782897       -0.0201480950
                 167     3055.0958639051        0.0053588504
                 168     3064.0944688063        0.0106109458
                 169     3074.8428009371        0.0064692175
                 170     3082.7108634773        0.0119917274
                 171     3089.7982478887       -0.0036463620
                 172     3095.2563445554       -0.1522837620
                 173     3103.0611000644       -0.0089750111
                 174     3124.8703238103        0.0028286028
                 175     3135.2569215459        0.0262437740
                 176     3172.2437823801       -4.8920212460
                 177     3196.2548580494        0.0187129164
                 178     3201.7153826192        0.0564016335
                 179     3204.2483562253        0.0516170082
                 180     3206.3940286964        0.0784659138
                 181     3207.5292180713        0.0632379076
                 182     3213.2572758328        0.0613001738
                 183     3216.8227856376       -0.0763944374
                 184     3222.4932973723       -0.0819520828
                 185     3230.5054306900        0.0980302202
                 186     3240.9481285800       -0.2632686015
************************************************************
Effective HR+ range (cm-1):    1000.0    1800.0
Effective HR+ Factor:      23.78
Effective HR+ Frequency:    1458.85
